Text,Sentimen
gw kayanya udh burnout bgt ini 3 minggu dihajar kerjaan dan pikiran lain lain,Negatif
punya dosen gini amat ya untung selalu bantuin masalah kampus kalau kaga males sih burnout ulah loba,Negatif
So burnout karena harus maintain kerjaan mental health sama temen deket yg diambang suicide,Negatif
Ini genshin kapan munculin fitur skip dah. Udah di masa burnout njr.,Negatif
Pengen update tapi ternyata w masih lemes. w habis burnout dikit kmarin gusy makanya ilang dulu bntarr maapin,Negatif
Di titik yang sampe ngomong ke atasan boomer Bu hari ini saya burnout  besok aja saya kerjain ya,Negatif
Beneran burnout kecampur pms jir kesel bgt,Negatif
Kalau deadline dan burnout yah aku biasanya nyediain waktu sebentar buat minum air putih sama dengerin lagu dangdut,Positif
kalo punya anak aku pasti bakal jadwalin dia ke psikolog keknya setahun sekali buat tau apa yg dia rasain selama ini yg mungkin dia ga bisa ceritain selama ini mental health rlly matters,Positif
Punya cowo adem ayem bikin mental health be better,Positif
ini sinetron agz lama-lama ngablu bgt anjir wkwk gajelas bgt alurnya muter muter pake segala dikaitin ke mental health jir kek apasih perubahan emosi dikit bilangnya bipolar hpd dll capek sendiri gue zz,Negatif
udh ga kuat gue di akun sblh  beneran berat rasanya. dsini lebih nymn buat gue sama mental health gue,Negatif
ga gw terusin lagi obrolan itu sebenerny mau gw bilangin kalo agama itu man made. sangat banyak cacatnya. sedangkan diri kita ini heaven made of course its more important to take care of our mental health rather than those silly institution called church,Positif
Sebenernya ujian praktek si Tapi penting mental health kan ya,Positif
mungkin gw terlalu mentingin mental health diri gw sendiri sampe hampir mengisolasi diri dari lingkungan luar. tapi sekali lagi hidup makin serius. harus memperhatikan lingkungan sekitar terutama individunya.,Positif
at this point aku nak fokus dengan mental health aku sendiri. mmg tak kuasa dah haih nak pikiaq pasal orang lain. lantak hampa nak jadi kayu ka batu ka.,Positif
Bila baca sesetengah komen netizen ada yang aware pasal mental health . Ada sesetengah tu siap perlekehkan keadaan Jia yang sekarang ni dan seolah menganggap benda macam ni satu benda yang remeh.,Positif
Men dgn boy tu lelaki kan? Apa beza? Kau tu yg takde common sense pastu siap main racist pulak. Mental health jgn buat main. Jgn seronok bodokan org gelakkan org. Terbalik kat kau nanti,Negatif
jiaaa.. agak khawatir liat postingan dia kemarin semoga semuanya baik2 aja ya. take all the time you need to heal your mental health are important. lekas membaik leeziijia,Positif
Bermanpaat buat mental health istrinya cyn Bingung mau dipake apa nih uang suamiku banyak bener sekarang,Positif
