node,degree_in,degree_out,betweenness,pagerank,eigenvector
danantara,153,153,0.5415343654111299,0.10425843079291804,0.0
bpidanantara,29,29,0.04131323200642841,0.022399698537454254,0.0
dukungdanantara,11,11,0.033749163402565195,0.017500543582848464,0.0
bumn,39,39,0.024239094714062638,0.01667352650614407,0.0
indonesiagelap,41,41,0.13076878667379319,0.016660277461165572,0.0
tepatsolutifindonesia,13,13,0.00029819702476955353,0.013948011328411267,0.0
prabowo,34,34,0.011298623878854946,0.013305898976024235,0.0
ekonomikuat,8,8,0.004428362964948326,0.012945035396924093,0.0
investasi,19,19,0.0014403582439525954,0.012158170645998742,0.0
manfaatdanantara,3,3,0.0,0.010996271419346875,0.0
indonesiamaju,19,19,0.01577766597022053,0.010193342858358543,0.0
presidenprabowo,12,12,0.0004660651002114416,0.00998478232068166,0.0
berita,8,8,4.702186987167731e-06,0.008688461228039008,0.0
telkomindonesia,16,16,0.0007373029195879002,0.008330069591135487,0.0
pertumbuhanekonomi,6,6,7.680238745707295e-05,0.007914937963119097,0.0
ekonomiindonesia,22,22,0.008249856452680586,0.007895553702063683,0.0
pertamax,29,29,0.009933761859307432,0.007567083645457584,0.0
ekonomilndonesia,4,4,5.4858848183623524e-05,0.007458707239782315,0.0
danantarabangunnegeri,22,22,0.009201788084971647,0.007349099816225077,0.0
zelena,10,10,0.0007899674138441789,0.00703194188563469,0.0
tolakruupolri,12,12,0.003417706241839746,0.006787701089165598,0.0
zonauang,19,19,0.03324446199927586,0.0063950598335642565,0.0
text,5,5,9.874592673052236e-05,0.006193915171235003,0.0
update,5,5,9.874592673052236e-05,0.006193915171235003,0.0
fyp,22,22,0.0035625336010445124,0.005843542433284016,0.0
artificialintelligence,7,7,0.0,0.005781575607046742,0.0
elevatingyourfuture,7,7,0.0,0.005781575607046742,0.0
bigbox,7,7,0.0,0.005781575607046742,0.0
ai,7,7,0.0,0.005781575607046742,0.0
ekonomimembaik,3,3,0.0,0.005560836985482811,0.0
ekonomi,12,12,0.015548564970901303,0.005524327704652831,0.0
peringatandarurat,11,11,2.7429424091811766e-05,0.005518074562869351,0.0
danantarakonspirasijahat,16,16,0.013495276653171389,0.005335839780767001,0.0
pln,15,15,0.026727230835061386,0.005176878592077644,0.0
danantarauntukindonesia,11,11,0.01194512234306843,0.00510323342298048,0.0
ihsg,12,12,0.0005101872881076989,0.005031689017562781,0.0
ekonomiberkelanjutan,9,9,0.026727230835061386,0.004987955308893265,0.0
tolakdwifungsiabri,11,11,2.7429424091811766e-05,0.004945580601959484,0.0
tolakrevisiuutni,11,11,2.7429424091811766e-05,0.004945580601959484,0.0
tolakuutni,11,11,2.7429424091811766e-05,0.004945580601959484,0.0
ekonomistabil,4,4,0.0067805536354958685,0.004661496606209729,0.0
sovereignwealthfund,15,15,0.0008464720274733111,0.00455627901372037,0.0
investasiindonesia,10,10,0.0008173968379359907,0.0044089343702953315,0.0
cabutuutni,10,10,0.0,0.004375204956361091,0.0
beritanasional,11,11,0.00015634771732332705,0.004249402730625667,0.0
kamis,11,11,0.00015634771732332705,0.004249402730625667,0.0
danantarauntukbangsa,5,5,0.0022867519016427874,0.004193685072839577,0.0
bisnisupdate,3,3,0.0,0.004108978980292734,0.0
bisnis,3,3,0.0,0.004108978980292734,0.0
jandapirang,16,16,0.0,0.004078186520734267,0.0
videohot,16,16,0.0,0.004078186520734267,0.0
kekinian,16,16,0.0,0.004078186520734267,0.0
seksi,16,16,0.0,0.004078186520734267,0.0
sangeindo,16,16,0.0,0.004078186520734267,0.0
jilbob,16,16,0.0,0.004078186520734267,0.0
bokep,16,16,0.0,0.004078186520734267,0.0
bangsat,16,16,0.0,0.004078186520734267,0.0
slotgacor,16,16,0.0,0.004078186520734267,0.0
sange,16,16,0.0,0.004078186520734267,0.0
tiktokhotviral,16,16,0.0,0.004078186520734267,0.0
pemersatubangsa,16,16,0.0,0.004078186520734267,0.0
rindu,16,16,0.0,0.004078186520734267,0.0
jasacuan,16,16,0.0,0.004078186520734267,0.0
kaburajadulu,14,14,0.0,0.004059408965228852,0.0
exabet88,14,14,0.0,0.004059408965228852,0.0
indonesianidol,14,14,0.0,0.004059408965228852,0.0
makanbergizigratis,14,14,0.0,0.004059408965228852,0.0
snap,14,14,0.0,0.004059408965228852,0.0
premierleague,14,14,0.0,0.004059408965228852,0.0
cewekmontok,14,14,0.0,0.004059408965228852,0.0
ahok,14,14,0.0,0.004059408965228852,0.0
supremasisipil,11,11,0.0033573615088377602,0.004057250929946488,0.0
strategioptimal,3,3,0.0,0.00403254894122151,0.0
partaigolkar,4,4,0.0,0.004032258064516129,0.0
energiterbarukan,2,2,0.0,0.004032258064516129,0.0
timnasindonesia,1,1,0.0,0.004032258064516129,0.0
profesionalisme,1,1,0.0,0.004032258064516129,0.0
transparansi,1,1,0.0,0.004032258064516129,0.0
investasihijau,2,2,0.0,0.004032258064516129,0.0
timnasday,1,1,0.0,0.004032258064516129,0.0
bpi,2,2,0.0,0.004032258064516129,0.0
berkahramadan2025,1,1,0.0,0.004032258064516129,0.0
tokodagingnusantaraterpercaya,2,2,0.0,0.004032258064516129,0.0
gakhabishabis,2,2,0.0,0.004032258064516129,0.0
dishopeeadaronaldinho,2,2,0.0,0.004032258064516129,0.0
kebijakantepatekonomikokoh,1,1,0.0,0.004032258064516129,0.0
pertaminasarangkoruptor,1,1,0.0,0.004032258064516129,0.0
kkn,2,2,0.0,0.004032258064516129,0.0
bahlillahadalia,4,4,0.0,0.004032258064516129,0.0
golkarindonesia,4,4,0.0,0.004032258064516129,0.0
kim,2,2,0.0,0.004032258064516129,0.0
perppuperampasanasetkoruptor,2,2,0.0,0.004032258064516129,0.0
kuningkeren,4,4,0.0,0.004032258064516129,0.0
indo,1,1,0.0,0.004032258064516129,0.0
golkarpedia,4,4,0.0,0.004032258064516129,0.0
sarachanedeyiz,4,4,0.0,0.004022936038463321,0.0
zeenunew,4,4,0.0,0.004022936038463321,0.0
amici24,4,4,0.0,0.004022936038463321,0.0
仮面ライダーガヴ,4,4,0.0,0.004022936038463321,0.0
indonesiaemas,9,9,0.006868327792589665,0.00401520673304255,0.0
indonesia,8,8,0.0001536047749141459,0.00400974411801437,0.0
news,4,4,0.0001645765445508706,0.0036775097557989007,0.0
hxw_beam,6,6,0.0,0.0035385254450315713,0.0
hartaberfair,6,6,0.0,0.0035385254450315713,0.0
elonmusk,6,6,0.0,0.0035385254450315713,0.0
kimsoohyun,6,6,0.0,0.0035385254450315713,0.0
championstrophy,6,6,0.0,0.0035385254450315713,0.0
kimsaeron,6,6,0.0,0.0035385254450315713,0.0
danantaramasadepanindonesia,3,3,0.0,0.0034993232465458848,0.0
beritapolitikterkini,10,10,0.0,0.0033741143955240954,0.0
prabowosubianto,10,10,0.0,0.0033741143955240954,0.0
pinterpolitik,10,10,0.0,0.0033741143955240954,0.0
bridgewaterassociates,10,10,0.0,0.0033741143955240954,0.0
raydalio,10,10,0.0,0.0033741143955240954,0.0
infografis,10,10,0.0,0.0033741143955240954,0.0
bridgewater,10,10,0.0,0.0033741143955240954,0.0
politikindonesia,10,10,0.0,0.0033741143955240954,0.0
beritapolitik,10,10,0.0,0.0033741143955240954,0.0
pso,8,8,4.702186987167731e-06,0.003321405390333274,0.0
gagalkanuutni,10,10,0.0,0.0033101388308234714,0.0
tolakruukejaksan,10,10,0.0,0.0033101388308234714,0.0
makzulkanprabowogibran,10,10,0.0,0.0033101388308234714,0.0
astacita,9,9,0.00010532898851255717,0.0032715999629448983,0.0
pertamina,11,11,0.0,0.003118124489661764,0.0
mindid,11,11,0.0,0.003118124489661764,0.0
bni,11,11,0.0,0.003118124489661764,0.0
bri,11,11,0.0,0.003118124489661764,0.0
mandiri,11,11,0.0,0.003118124489661764,0.0
rosanroeslani,8,8,0.0,0.003071959375965926,0.0
sby,7,7,5.211590577444235e-05,0.0029163988962499316,0.0
jokowi,7,7,5.211590577444235e-05,0.0029163988962499316,0.0
istanamerdeka,8,8,0.0,0.002832724599653889,0.0
bank,8,8,0.0,0.002832724599653889,0.0
roeslani,8,8,0.0,0.002832724599653889,0.0
zonaba,5,5,0.0,0.002791455589440722,0.0
testilalajoki,5,5,0.0,0.002791455589440722,0.0
zonatugas,5,5,0.0,0.002791455589440722,0.0
jokitugas,5,5,0.0,0.002791455589440722,0.0
zonajajan,5,5,0.0,0.002791455589440722,0.0
tolakruutni,6,6,0.0,0.002732483975851418,0.0
ekonomibangsakuat,6,6,0.0,0.0027063001605741807,0.0
lacasadelosfamososcol,6,6,0.0,0.0027063001605741807,0.0
investment,6,6,0.0,0.0027063001605741807,0.0
trainhijack,6,6,0.0,0.0027063001605741807,0.0
ramadan2025,6,6,0.0,0.0027063001605741807,0.0
adadikompas,2,2,0.0067805536354958685,0.0026201006295125404,0.0
tarifimpor,7,7,0.0,0.002581642225509913,0.0
negosiasiasean,7,7,0.0,0.002581642225509913,0.0
dhe,7,7,0.0,0.002581642225509913,0.0
berdikari,7,7,0.0,0.002581642225509913,0.0
investasistrategis,7,7,0.0,0.002581642225509913,0.0
newsupdate,3,3,0.0,0.002556239059921382,0.0
kelolainvestasibijak,4,4,0.0,0.0025092695678555943,0.0
investasiuntukmasadepan,4,4,0.0,0.0025092695678555943,0.0
investasiuntukrakyat,4,4,0.0,0.0025092695678555943,0.0
investasiuntukindonesia,4,4,0.0,0.0025092695678555943,0.0
acceleratingrenewableenergy,4,4,0.0,0.002481780114421074,0.0
plnmobile,4,4,0.0,0.002481780114421074,0.0
plnuntukindonesia,4,4,0.0,0.002481780114421074,0.0
swasembadaenergi,4,4,0.0,0.002481780114421074,0.0
jiwasraya,4,4,0.0,0.0024471146618667595,0.0
kopdes,6,6,0.0,0.0024111351600762864,0.0
merahputih,6,6,0.0,0.0024111351600762864,0.0
desa,6,6,0.0,0.0024111351600762864,0.0
danadesa,6,6,0.0,0.0024111351600762864,0.0
koperasi,6,6,0.0,0.0024111351600762864,0.0
viral,7,7,0.0,0.00230546754735661,0.0
progres,4,4,0.0,0.0023000984293151546,0.0
peresmian,4,4,0.0,0.0023000984293151546,0.0
ishg,4,4,0.0,0.0023000984293151546,0.0
pasca,4,4,0.0,0.0023000984293151546,0.0
kemandirianpertahanan,4,4,0.0,0.0022481696191999872,0.0
teknologinasional,4,4,0.0,0.0022481696191999872,0.0
nkri,4,4,0.0,0.0022481696191999872,0.0
inovasiuntuknegeri,4,4,0.0,0.0022481696191999872,0.0
danantaraindonesia,2,2,0.0,0.00224381293415338,0.0
