node,degree_in,degree_out,betweenness,pagerank,eigenvector
genznusantara,40,0,0.0,0.013196557090682803,0.0
sbyudhoyono,45,0,0.0,0.012428412637782327,0.0
prabowo,71,0,0.0,0.009703326610782008,0.0
rtpvnews,25,0,0.0,0.007587713728057618,0.0
arsipaja,20,0,0.0,0.006412527499698053,0.0
tempodotco,25,0,0.0,0.006118730942608162,0.0
profesor_saham,23,0,0.0,0.0055898971398463575,0.0
leonpriceleon48,15,0,0.0,0.0051839237155039625,0.0
cnnindonesia,16,0,0.0,0.005023671048000385,0.0
democrazymedia,14,0,0.0,0.004703165712993232,0.0
dheppylovelly,10,0,0.0,0.003581397040468192,0.0
detikcom,12,0,0.0,0.0033677268171300886,0.0
kompastv,10,0,0.0,0.003260891705461038,0.0
hexagrap_id,9,0,0.0,0.003260891705461038,0.0
kompascom,12,0,0.0,0.003207474149626512,0.0
msaid_didu,11,0,0.0,0.0031938769535959054,0.0
nenkmonica,11,0,0.0,0.003154056593791986,0.0
tanyakanrl,13,0,0.0,0.0031380313270416285,0.0
rena_mareta,9,0,0.0,0.0031006390379574606,0.0
_updateinfo,8,0,0.0,0.0029403863704538834,0.0
4justice_100225,8,0,0.0,0.0029403863704538834,0.0
tom5helby,8,0,0.0,0.0026198810354467294,0.0
indonesiajadi,7,0,0.0,0.0026198810354467294,0.0
kangmanto123,10,0,0.0,0.002579817868570835,0.0
yudhakhel,8,0,0.0,0.0025664634796122034,0.0
narasinewsroom,9,0,0.0,0.002486337145860415,0.0
idextratime,7,0,0.0,0.0024596283679431522,0.0
mdy_asmara1701,7,0,0.0,0.0024596283679431522,0.0
fahrihamzah,7,0,0.0,0.0024596283679431522,0.0
erickthohir,13,0,0.0,0.0023990884713306895,0.0
tanyarlfes,8,0,0.0,0.002192540588770524,0.0
kegblgnunfaedh,7,0,0.0,0.002165831810853261,0.0
wagimandeep212_,6,0,0.0,0.002139123032935998,0.0
irwndfrry,6,0,0.0,0.0020857054771014722,0.0
txtfromir,6,0,0.0,0.001978870365432421,0.0
tirtoid,5,0,0.0,0.001978870365432421,0.0
kumparan,5,0,0.0,0.001978870365432421,0.0
satriohendri,6,0,0.0,0.001978870365432421,0.0
barengwarga,7,0,0.0,0.0019254528095978953,0.0
kemensetnegri,6,0,0.0,0.0018586808648047382,0.0
grok,11,0,0.0,0.0018399847202626544,0.0
dennysiregar7,7,0,0.0,0.0017785545310529493,0.0
matildapuutrii,4,0,0.0,0.0016583650304252667,0.0
notaslimboy,4,0,0.0,0.0016583650304252667,0.0
keuangan,5,0,0.0,0.0016583650304252667,0.0
alisyarief,4,0,0.0,0.0016583650304252667,0.0
saham_fess,5,0,0.0,0.0015782386966734783,0.0
budibukanintel,5,0,0.0,0.0014981123629216897,0.0
investorgabut,4,0,0.0,0.0014981123629216897,0.0
danantara_ri,8,0,0.0,0.0014370637276822319,0.0
ardisatriawan,4,0,0.0,0.0014179860291699013,0.0
jiimsclaim,3,0,0.0,0.0013378596954181125,0.0
athalia_lize,3,0,0.0,0.0013378596954181125,0.0
radh_bagaskara5,3,0,0.0,0.0013378596954181125,0.0
asumsico,3,0,0.0,0.0013378596954181125,0.0
jayak90837589,3,0,0.0,0.0013378596954181125,0.0
mardigu024,3,0,0.0,0.0013378596954181125,0.0
jhonsitorus_18,3,0,0.0,0.0013378596954181125,0.0
_riverheaven,3,0,0.0,0.0013378596954181125,0.0
antikorupsi,3,0,0.0,0.0013378596954181125,0.0
boediantar4,3,0,0.0,0.0013378596954181125,0.0
mas_veel,5,0,0.0,0.0013090963961225987,0.0
kemgelapan,4,0,0.0,0.0012043158058317985,0.0
islah_bahrawi,3,0,0.0,0.0011776070279145357,0.0
tekarok007,3,0,0.0,0.0011776070279145357,0.0
geloraco,3,0,0.0,0.0011776070279145357,0.0
airindatanglagi,3,0,0.0,0.00112418947208001,0.0
strategi_bisnis,3,0,0.0,0.001097480694162747,0.0
ds_yantie,3,0,0.0,0.0010574175272868528,0.0
gunromli,3,0,0.0,0.0010574175272868528,0.0
kpk_ri,3,0,0.0,0.0010464912090479726,0.0
bospurwa,5,0,0.0,0.0010440631383282213,0.0
enoliska_,2,0,0.0,0.0010173543604109585,0.0
txtdrjkt,2,0,0.0,0.0010173543604109585,0.0
todunglubis,2,0,0.0,0.0010173543604109585,0.0
stefanantonio__,2,0,0.0,0.0010173543604109585,0.0
genidaa41665,2,0,0.0,0.0010173543604109585,0.0
pngadilnr4kyt,2,0,0.0,0.0010173543604109585,0.0
andikamalreza,2,0,0.0,0.0010173543604109585,0.0
paltiwest2024,2,0,0.0,0.0010173543604109585,0.0
g0liath87,2,0,0.0,0.0010173543604109585,0.0
kenhans03,2,0,0.0,0.0010173543604109585,0.0
azvinhutama,2,0,0.0,0.0010173543604109585,0.0
jokoanwar,2,0,0.0,0.0010173543604109585,0.0
madinaarifahh,2,0,0.0,0.0010173543604109585,0.0
litmercury,2,0,0.0,0.0010173543604109585,0.0
raymondchins,2,0,0.0,0.0010173543604109585,0.0
kharism79,2,0,0.0,0.0010173543604109585,0.0
zakkiamali,2,0,0.0,0.0010173543604109585,0.0
alvana_gifa33,2,0,0.0,0.0010173543604109585,0.0
neveral0nely,2,0,0.0,0.0010173543604109585,0.0
m45broo_,2,0,0.0,0.0010173543604109585,0.0
marchfoward,2,0,0.0,0.0010173543604109585,0.0
s4n_w1b1,2,0,0.0,0.0010173543604109585,0.0
prastow,3,0,0.0,0.0010173543604109585,0.0
uki23,2,0,0.0,0.0010173543604109585,0.0
ssojungc,2,0,0.0,0.0010173543604109585,0.0
cakkhum,2,0,0.0,0.0010173543604109585,0.0
merapi_uncover,2,0,0.0,0.0010173543604109585,0.0
hnirankara,4,0,0.0,0.0010173543604109585,0.0
adiprayitno_20,2,0,0.0,0.0010173543604109585,0.0
gadulkriyuswin,2,0,0.0,0.0010173543604109585,0.0
tang__kira,2,0,0.0,0.0010173543604109585,0.0
tvonenews,2,0,0.0,0.0010173543604109585,0.0
txtdrimedia,3,0,0.0,0.0010173543604109585,0.0
doiseller,2,0,0.0,0.0010173543604109585,0.0
k0umei_,2,0,0.0,0.0010173543604109585,0.0
bitxt,4,0,0.0,0.0010173543604109585,0.0
nawacit4,2,0,0.0,0.0010173543604109585,0.0
raydalio,4,0,0.0,0.0009639368045764328,0.0
romoatheist,5,0,0.0,0.0009505824156178015,0.0
awemany,4,0,0.0,0.00093722802665917,0.0
kemenbumn,5,0,0.0,0.0009295969472542378,0.0
jokowi,8,0,0.0,0.0009255583452307044,0.0
pertamina,4,0,0.0,0.0009105192487419071,0.0
oggyzilly43173,3,0,0.0,0.0009105192487419071,0.0
akbarfaizal68,3,0,0.0,0.0009105192487419071,0.0
kimberley_ps08,7,0,0.0,0.0008636761613177848,0.0
kempanrb,2,0,0.0,0.0008571016929073814,0.0
zetsupth,2,0,0.0,0.0008571016929073814,0.0
stockbit,2,0,0.0,0.0008571016929073814,0.0
susipudjiastuti,2,0,0.0,0.0008571016929073814,0.0
unmagnetism,2,0,0.0,0.0008571016929073814,0.0
sindonews,2,0,0.0,0.0008571016929073814,0.0
hilmi28,2,0,0.0,0.0008571016929073814,0.0
ferrykoto,2,0,0.0,0.0008571016929073814,0.0
fayaatika,2,0,0.0,0.0008571016929073814,0.0
naz_lira,2,0,0.0,0.0008571016929073814,0.0
jackjackparrr,2,0,0.0,0.0008571016929073814,0.0
bagusrangin77,2,0,0.0,0.0008571016929073814,0.0
telkomindonesia,3,0,0.0,0.0008571016929073814,0.0
tesanarasa_,2,0,0.0,0.0008571016929073814,0.0
puthutea,2,0,0.0,0.0008571016929073814,0.0
jateng_twit,2,0,0.0,0.0008571016929073814,0.0
beritasatu,2,0,0.0,0.0008571016929073814,0.0
realfedinuril,3,0,0.0,0.0008571016929073814,0.0
gerindra,5,0,0.0,0.0008550471715291305,0.0
denmassojo,4,0,0.0,0.0008303929149901186,0.0
mariaalkaff_,2,0,0.0,0.0008036841370728557,0.0
bigalphaid,2,0,0.0,0.0008036841370728557,0.0
convomf,2,0,0.0,0.0008036841370728557,0.0
siaranbolalive,2,0,0.0,0.0008036841370728557,0.0
danantara_korup,2,0,0.0,0.0008036841370728557,0.0
partaisocmed,2,0,0.0,0.0008036841370728557,0.0
ruliemaulana,2,0,0.0,0.0007769753591555931,0.0
__anakkolong,2,0,0.0,0.0007769753591555931,0.0
occrp,2,0,0.0,0.0007769753591555931,0.0
tribunnews,2,0,0.0,0.0007502665812383302,0.0
puspen_tni,2,0,0.0,0.0007369121922796987,0.0
kemenkeuri,2,0,0.0,0.0007235578033210674,0.0
zarryhendrik,3,0,0.0,0.0007215032819428164,0.0
bangsaygsujud,7,0,0.0,0.0007034234938142077,0.0
shellanab,1,0,0.0,0.0006968490254038045,0.0
presidenjisung,1,0,0.0,0.0006968490254038045,0.0
scottclys,1,0,0.0,0.0006968490254038045,0.0
faizalassegaf,1,0,0.0,0.0006968490254038045,0.0
matawanii,1,0,0.0,0.0006968490254038045,0.0
mancityroom,1,0,0.0,0.0006968490254038045,0.0
xquitavee,1,0,0.0,0.0006968490254038045,0.0
sihir_sains,1,0,0.0,0.0006968490254038045,0.0
oposisicerdas,1,0,0.0,0.0006968490254038045,0.0
__pasmantap,1,0,0.0,0.0006968490254038045,0.0
m4retha,1,0,0.0,0.0006968490254038045,0.0
todayissitaa,1,0,0.0,0.0006968490254038045,0.0
rifqizuhdi281,1,0,0.0,0.0006968490254038045,0.0
vivacoid,1,0,0.0,0.0006968490254038045,0.0
zeynitsu,1,0,0.0,0.0006968490254038045,0.0
undipmfs,1,0,0.0,0.0006968490254038045,0.0
pakmul63,1,0,0.0,0.0006968490254038045,0.0
eddesign_,1,0,0.0,0.0006968490254038045,0.0
aldhitamar,1,0,0.0,0.0006968490254038045,0.0
avebeendreaming,1,0,0.0,0.0006968490254038045,0.0
eyulihastin,1,0,0.0,0.0006968490254038045,0.0
arman_dhani,2,0,0.0,0.0006968490254038045,0.0
holdenklasik,1,0,0.0,0.0006968490254038045,0.0
marlina_idha,1,0,0.0,0.0006968490254038045,0.0
intinyadeh,1,0,0.0,0.0006968490254038045,0.0
pakatdayak_,1,0,0.0,0.0006968490254038045,0.0
sisthaaaaa,1,0,0.0,0.0006968490254038045,0.0
fahmiagustian,1,0,0.0,0.0006968490254038045,0.0
box2boxbola,1,0,0.0,0.0006968490254038045,0.0
franken_blues,1,0,0.0,0.0006968490254038045,0.0
kaiashere,1,0,0.0,0.0006968490254038045,0.0
dean_ht,1,0,0.0,0.0006968490254038045,0.0
lloyd11099,1,0,0.0,0.0006968490254038045,0.0
twillight_loid,1,0,0.0,0.0006968490254038045,0.0
ronaldy596,1,0,0.0,0.0006968490254038045,0.0
tijabar,1,0,0.0,0.0006968490254038045,0.0
polisiolahraga,1,0,0.0,0.0006968490254038045,0.0
coralismm,1,0,0.0,0.0006968490254038045,0.0
nebuilaa,1,0,0.0,0.0006968490254038045,0.0
edensorian,1,0,0.0,0.0006968490254038045,0.0
johatshu,1,0,0.0,0.0006968490254038045,0.0
sleepygifts,1,0,0.0,0.0006968490254038045,0.0
marahichsan,1,0,0.0,0.0006968490254038045,0.0
mcitraningrum,1,0,0.0,0.0006968490254038045,0.0
selinaerys,1,0,0.0,0.0006968490254038045,0.0
kopipait__78,1,0,0.0,0.0006968490254038045,0.0
chweers_,1,0,0.0,0.0006968490254038045,0.0
gordongeckoleon,1,0,0.0,0.0006968490254038045,0.0
heraloebss,1,0,0.0,0.0006968490254038045,0.0
rahasiasupra,1,0,0.0,0.0006968490254038045,0.0
forfracha,1,0,0.0,0.0006968490254038045,0.0
adhitia_sept,1,0,0.0,0.0006968490254038045,0.0
zavanzadaily,1,0,0.0,0.0006968490254038045,0.0
e100ss,1,0,0.0,0.0006968490254038045,0.0
raslelembut,1,0,0.0,0.0006968490254038045,0.0
ferdinand_mpu,1,0,0.0,0.0006968490254038045,0.0
jangancemas_id,1,0,0.0,0.0006968490254038045,0.0
mhuseinali,1,0,0.0,0.0006968490254038045,0.0
mikimontana,1,0,0.0,0.0006968490254038045,0.0
sceokjiin,1,0,0.0,0.0006968490254038045,0.0
jackodin13,1,0,0.0,0.0006968490254038045,0.0
jhinseluck,1,0,0.0,0.0006968490254038045,0.0
wespeakuporg,1,0,0.0,0.0006968490254038045,0.0
kkusumawardani,1,0,0.0,0.0006968490254038045,0.0
sihanjir,1,0,0.0,0.0006968490254038045,0.0
dddbluu,1,0,0.0,0.0006968490254038045,0.0
agistalita,1,0,0.0,0.0006968490254038045,0.0
dovelizer,1,0,0.0,0.0006968490254038045,0.0
abrsamad,1,0,0.0,0.0006968490254038045,0.0
bengkeldodo,1,0,0.0,0.0006968490254038045,0.0
aewin86,1,0,0.0,0.0006968490254038045,0.0
verraagustian_,1,0,0.0,0.0006968490254038045,0.0
xsayhitomi,1,0,0.0,0.0006968490254038045,0.0
sumerianum,1,0,0.0,0.0006968490254038045,0.0
mrongdedy,1,0,0.0,0.0006968490254038045,0.0
indonesiaqta,1,0,0.0,0.0006968490254038045,0.0
pandji,1,0,0.0,0.0006968490254038045,0.0
vikratana,1,0,0.0,0.0006968490254038045,0.0
kabar_chelsea,1,0,0.0,0.0006968490254038045,0.0
adriandhy,1,0,0.0,0.0006968490254038045,0.0
trumpsolana47,1,0,0.0,0.0006968490254038045,0.0
hariankompas,1,0,0.0,0.0006968490254038045,0.0
nardie_bonek,1,0,0.0,0.0006968490254038045,0.0
senituru,1,0,0.0,0.0006968490254038045,0.0
alandakariza,1,0,0.0,0.0006968490254038045,0.0
naiyahere_,1,0,0.0,0.0006968490254038045,0.0
bivitris,1,0,0.0,0.0006968490254038045,0.0
