"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1992230422093431135","Sun Nov 23 23:50:25 +0000 2025","0","@barengwarga Tau kan kenapa RUU KUHAP dikebut?","1992742563942646032","","barengwarga","in","","0","0","0","https://x.com/undefined/status/1992742563942646032","1348200421",
"1992646901309825034","Sun Nov 23 17:36:44 +0000 2025","0","uu cipta kerja ruu tni ruu kuhap ruu kpk dan ruu kontroversial lainnya bisa dengan mudahnya diloloskan oleh petugas partai pdip di dpr kalo emang kerjanya bener sih mereka bisa menolak ruu kontroversial apalagi puan jadi ketua dpr tapi kenapa diloloskan? sama aja korupnya","1992648522982896062","","pengenbaksooo","in","","0","0","0","https://x.com/undefined/status/1992648522982896062","1195345658464456704",
"1992571828557242767","Sun Nov 23 15:20:03 +0000 2025","0","@wahiddarmadi @MurtadhaOne1 @nahdlatululama Berdasarkan pencarian terbaru RUU KUHAP memang disahkan DPR pada 18 November 2025 di tengah protes dan kontroversi. Terkait NU terbelah laporan menunjukkan ketegangan internal di PBNU soal pemakzulan Ketua Umum Yahya Staquf akibat kontroversi narasumber Zionis bukan langsung","1992614125374177559","","wahiddarmadi","in","","0","1","0","https://x.com/undefined/status/1992614125374177559","1720665183188922368",
"1992611403858157763","Sun Nov 23 15:09:14 +0000 2025","0","Sialan baru di tentang abis abisan pasal RUU KUHAP ini udh langsung dikasi eksekusinya anjirr. Fuck government","1992611403858157763","","","in","","0","0","0","https://x.com/undefined/status/1992611403858157763","1704252363144564736",
"1992592372627337343","Sun Nov 23 14:13:26 +0000 2025","0","@YLBHI @prabowo Kira-kira apa memungkinkan seandainya RKUHAP 2025 meski UU nya belum diundangkan direvisi DPE via RUU Penyesuaian Pidana yg akan dibahas DPR minggu besok? Jadi RUU tsb nantinya selain ada bab yg merevisi KUHP jg ada utk merevisi KUHAP nya","1992597361714151909","","YLBHI","in","","0","1","0","https://x.com/undefined/status/1992597361714151909","1584520237713457152",
"1992595899101643106","Sun Nov 23 14:07:37 +0000 2025","0","RUU KUHAP baru menjadi langkah maju dalam memperkuat perlindungan hukum bagi semua pihak tersangka korban hingga saksi. Reformasi peradilan kini semakin nyata. https://t.co/JXHlE8Tqid","1992595899101643106","https://pbs.twimg.com/media/G6cfaPrboAA3Ac-.jpg","","in","","0","0","0","https://x.com/undefined/status/1992595899101643106","2570087317",
"1992244880262017177","Sun Nov 23 13:15:15 +0000 2025","0","@intinyadeh di ruu kuhap baru ini udh jelas klo penyadapan ini ga diatur samsek soalnya kan itu bakal dibuat uu penyadapan khusus yg ngewajibin adanya izin dari pengadilan","1992582718224482377","","intinyadeh","in","","0","0","0","https://x.com/undefined/status/1992582718224482377","1902679164802744320",
"1992244880262017177","Sun Nov 23 13:14:31 +0000 2025","0","@intinyadeh Banyak yg teriak bahaya bahaya padahal di RUU KUHAP tiap langkah aparat itu harus diawasi pengadilan. Ga ada cerita main gas seenaknya.","1992582533863862551","","intinyadeh","in","","0","0","0","https://x.com/undefined/status/1992582533863862551","1613388472903172096",
"1992244880262017177","Sun Nov 23 13:13:17 +0000 2025","0","@intinyadeh justru ruu kuhap ini ngebuat pembaruan yg ngasih dampak aparat gk bisa seenaknya jelas smua pasti udah sesuai prosedur yg pas","1992582225439998206","","intinyadeh","in","","0","0","0","https://x.com/undefined/status/1992582225439998206","1904426558477262848",
"1992574890848006201","Sun Nov 23 12:44:10 +0000 2025","1","Fakta RUU KUHAP: pembaruan regulasi dilakukan untuk memastikan proses hukum lebih akuntabel modern dan menghormati hak asasi setiap warga. https://t.co/jC3Te5BNAS","1992574898926178536","https://pbs.twimg.com/media/G6cMT5ga0AA9Xjw.jpg","Arziky28067","in","","0","0","1","https://x.com/undefined/status/1992574898926178536","1968585166504476672",
"1992574890848006201","Sun Nov 23 12:44:08 +0000 2025","1","RUU KUHAP direvisi untuk mempertegas prosedur hukum memperkuat pengawasan aparat dan meningkatkan perlindungan terhadap masyarakat. https://t.co/yf82NPfZ4d","1992574890848006201","https://pbs.twimg.com/media/G6cMTTSaUAAw4HR.jpg","","in","","0","1","1","https://x.com/undefined/status/1992574890848006201","1968585166504476672",
"1992571828557242767","Sun Nov 23 12:31:58 +0000 2025","20","RUU KUHAP lolos NU terbelah ","1992571828557242767","","","in","","1","2","6","https://x.com/undefined/status/1992571828557242767","1178950184601935873",
"1992150356781142115","Sun Nov 23 12:31:19 +0000 2025","1","@pwettyiwirrr Isu penyadapan liar itu juga misleading. Di RUU KUHAP malah ga diatur karena bakal dibikin UU khusus penyadapan yang mewajibkan izin pengadilan. Jadi ga ada tuh cerita bebas nyadap.","1992571662248890414","","pwettyiwirrr","in","","0","0","1","https://x.com/undefined/status/1992571662248890414","1611943007422672897",
"1992150356781142115","Sun Nov 23 12:31:03 +0000 2025","1","@pwettyiwirrr RUU KUHAP ini ga bikin aparat makin bebas kok. Hampir semua tindakan sekarang wajib lewat izin hakim. Penyitaan penggeledahan sampe blokir rekening semua dipagerin ketat.","1992571597597925756","","pwettyiwirrr","in","","0","0","1","https://x.com/undefined/status/1992571597597925756","1597785491008811009",
"1992150356781142115","Sun Nov 23 12:30:41 +0000 2025","0","@pwettyiwirrr Banyak yg salah paham soal RUU KUHAP baru. Prosesnya panjang bukan tiba-tiba jadi. Input dari lembaga hukum &amp; akademisi juga numpuk. Jadi plis baca draft final dulu bukan gosip medsos.","1992571503368647153","","pwettyiwirrr","in","","0","0","0","https://x.com/undefined/status/1992571503368647153","1975577851098517504",
"1992150356781142115","Sun Nov 23 12:30:11 +0000 2025","0","@pwettyiwirrr kuhap baru ini gk bikin aparat pnya wewenang lebih luas serius dahh. justru ruu kuhap ini ngebuat pembaruan yg ngasih dampak aparat gk bisa seenaknya contohnya di pasal 136 ayat 2 ama pasal 140 ayat 2","1992571378122600925","","pwettyiwirrr","in","","0","0","0","https://x.com/undefined/status/1992571378122600925","1884818536570425344",
"1992569956794507556","Sun Nov 23 12:24:32 +0000 2025","0","Dukung RUU KUHAP agar keadilan tidak lagi sekadar janji https://t.co/hWLW2MWipi","1992569956794507556","https://pbs.twimg.com/media/G6cH0MzaAAA2R3R.jpg","","in","","0","0","0","https://x.com/undefined/status/1992569956794507556","1897599138415644672",
"1992568386908520672","Sun Nov 23 12:18:18 +0000 2025","0","Dukung RUU KUHAP agar keadilan tidak lagi sekadar janji https://t.co/dE6zATenlk","1992568386908520672","https://pbs.twimg.com/media/G6cGYxga8AAC7eC.jpg","","in","","0","0","0","https://x.com/undefined/status/1992568386908520672","1430738310",
"1992565889967980687","Sun Nov 23 12:08:22 +0000 2025","0","Aliansi BEM Nusantara dan mahasiswa Bandung Raya melakukan aksi 'Indonesia Gelap' di depan DPRD Jabar pada Jumat (21/11/2025) untuk menolak RUU KUHAP yang disahkan DPR pada Selasa (18/11/2025). Selengkapnya di https://t.co/mwj0cb0voH","1992565889967980687","","","in","","0","0","0","https://x.com/undefined/status/1992565889967980687","175467272",
