channelId,name,englishName,affiliation,group,subscriptionCount,videoCount,photo,period,chats,memberChats,uniqueChatters,uniqueMembers,bannedChatters,deletedChats,superChats,uniqueSuperChatters,totalSC,averageSC,totalMessageLength,averageMessageLength,mostFrequentCurrency,mostFrequentColor
UC--A2dwZW7-M2kID0N6_lfA,Chris Channel / 獅子王クリス 【シュガリリ】,Shishio Chris,774inc,SugarLyric,45500.0,487.0,https://yt3.ggpht.com/ytc/AKedOLQspWmEvmujEOiSlAjJRb6qagz8Q37Fsozz71CR=s800-c-k-c0x00ffffff-no-rj,2021-03,32116.0,7874.0,1112.0,141.0,1.0,6.0,71.0,45.0,176688.0,2488.0,762.0,14.0,JPY,green
UC--A2dwZW7-M2kID0N6_lfA,Chris Channel / 獅子王クリス 【シュガリリ】,Shishio Chris,774inc,SugarLyric,45500.0,487.0,https://yt3.ggpht.com/ytc/AKedOLQspWmEvmujEOiSlAjJRb6qagz8Q37Fsozz71CR=s800-c-k-c0x00ffffff-no-rj,2021-04,37111.0,17574.0,1184.0,167.0,1.0,0.0,124.0,57.0,143057.0,1153.0,942.0,10.0,JPY,green
UC--A2dwZW7-M2kID0N6_lfA,Chris Channel / 獅子王クリス 【シュガリリ】,Shishio Chris,774inc,SugarLyric,45500.0,487.0,https://yt3.ggpht.com/ytc/AKedOLQspWmEvmujEOiSlAjJRb6qagz8Q37Fsozz71CR=s800-c-k-c0x00ffffff-no-rj,2021-05,76025.0,33895.0,1791.0,176.0,2.0,0.0,407.0,172.0,781559.0,1920.0,3732.0,12.0,JPY,green
UC--A2dwZW7-M2kID0N6_lfA,Chris Channel / 獅子王クリス 【シュガリリ】,Shishio Chris,774inc,SugarLyric,45500.0,487.0,https://yt3.ggpht.com/ytc/AKedOLQspWmEvmujEOiSlAjJRb6qagz8Q37Fsozz71CR=s800-c-k-c0x00ffffff-no-rj,2021-06,59555.0,24656.0,1575.0,166.0,2.0,0.0,239.0,91.0,310315.0,1298.0,1318.0,8.0,JPY,green
UC--A2dwZW7-M2kID0N6_lfA,Chris Channel / 獅子王クリス 【シュガリリ】,Shishio Chris,774inc,SugarLyric,45500.0,487.0,https://yt3.ggpht.com/ytc/AKedOLQspWmEvmujEOiSlAjJRb6qagz8Q37Fsozz71CR=s800-c-k-c0x00ffffff-no-rj,2021-07,55926.0,24495.0,1504.0,166.0,0.0,0.0,199.0,60.0,313108.0,1573.0,922.0,8.0,JPY,green
UC--A2dwZW7-M2kID0N6_lfA,Chris Channel / 獅子王クリス 【シュガリリ】,Shishio Chris,774inc,SugarLyric,45500.0,487.0,https://yt3.ggpht.com/ytc/AKedOLQspWmEvmujEOiSlAjJRb6qagz8Q37Fsozz71CR=s800-c-k-c0x00ffffff-no-rj,2021-08,83279.0,32962.0,2193.0,186.0,10.0,1.0,212.0,67.0,530706.0,2503.0,1132.0,10.0,JPY,green
UC--A2dwZW7-M2kID0N6_lfA,Chris Channel / 獅子王クリス 【シュガリリ】,Shishio Chris,774inc,SugarLyric,45500.0,487.0,https://yt3.ggpht.com/ytc/AKedOLQspWmEvmujEOiSlAjJRb6qagz8Q37Fsozz71CR=s800-c-k-c0x00ffffff-no-rj,2021-09,38468.0,19983.0,1115.0,147.0,7.0,1.0,93.0,38.0,122727.0,1319.0,395.0,8.0,JPY,green
UC--A2dwZW7-M2kID0N6_lfA,Chris Channel / 獅子王クリス 【シュガリリ】,Shishio Chris,774inc,SugarLyric,45500.0,487.0,https://yt3.ggpht.com/ytc/AKedOLQspWmEvmujEOiSlAjJRb6qagz8Q37Fsozz71CR=s800-c-k-c0x00ffffff-no-rj,2021-10,64441.0,27499.0,1455.0,171.0,6.0,0.0,169.0,75.0,315588.0,1867.0,1245.0,11.0,JPY,green
UC--A2dwZW7-M2kID0N6_lfA,Chris Channel / 獅子王クリス 【シュガリリ】,Shishio Chris,774inc,SugarLyric,45500.0,487.0,https://yt3.ggpht.com/ytc/AKedOLQspWmEvmujEOiSlAjJRb6qagz8Q37Fsozz71CR=s800-c-k-c0x00ffffff-no-rj,2021-11,19552.0,8769.0,825.0,132.0,1.0,0.0,105.0,52.0,191550.0,1824.0,700.0,9.0,JPY,green
UC--A2dwZW7-M2kID0N6_lfA,Chris Channel / 獅子王クリス 【シュガリリ】,Shishio Chris,774inc,SugarLyric,45500.0,487.0,https://yt3.ggpht.com/ytc/AKedOLQspWmEvmujEOiSlAjJRb6qagz8Q37Fsozz71CR=s800-c-k-c0x00ffffff-no-rj,2021-12,86563.0,34742.0,1854.0,178.0,1.0,0.0,258.0,89.0,456972.0,1771.0,1758.0,11.0,JPY,green
UC--A2dwZW7-M2kID0N6_lfA,Chris Channel / 獅子王クリス 【シュガリリ】,Shishio Chris,774inc,SugarLyric,45500.0,487.0,https://yt3.ggpht.com/ytc/AKedOLQspWmEvmujEOiSlAjJRb6qagz8Q37Fsozz71CR=s800-c-k-c0x00ffffff-no-rj,2022-01,68741.0,27091.0,2203.0,208.0,0.0,0.0,218.0,105.0,361229.0,1657.0,1447.0,10.0,JPY,green
